"Nama","Alamat","No. Telp","Website","Jenis Entitas","Jenis Kegiatan","Tgl Input","Keterangan"
"CASH LOAN 2 MINUTES","","","loanfastest@gmail.com","Fintech Ilegal","Peer To Peer Lending","13/12/2021","SP-05/VII/SWI/2018"
"CashDana","","","service@loan4now.com","Fintech Ilegal","Peer To Peer Lending","13/12/2021","SP-05/VII/SWI/2018"
"CashDay Pinjaman","","","danasulapservice@gmail.com","Fintech Ilegal","Peer To Peer Lending","13/12/2021","SP-05/VII/SWI/2018"
"Cashstore","","","casheasy.sea@gmail.com","Fintech Ilegal","Peer To Peer Lending","13/12/2021","SP-05/VII/SWI/2018"
"CashStore","","","sanjaybankar12@gmail.com","Fintech Ilegal","Peer To Peer Lending","13/12/2021","SP-05/VII/SWI/2018"
"Cepat Pinjaman","","","","Fintech Ilegal","Peer To Peer Lending","13/12/2021","SP-05/VII/SWI/2018"
"Cepatuang","","","seriousfintech@gmail.com","Fintech Ilegal","Peer To Peer Lending","13/12/2021","SP-05/VII/SWI/2018"
"Cinta Rupiah","","","","Fintech Ilegal","Peer To Peer Lending","13/12/2021","SP-05/VII/SWI/2018"
"Dana Berkat","","","rupiahcashbos@gmail.com","Fintech Ilegal","Peer To Peer Lending","13/12/2021","SP-05/VII/SWI/2018"
"Dana Cash","","","rupiahkilat@qq.com","Fintech Ilegal","Peer To Peer Lending","13/12/2021","SP-05/VII/SWI/2018"
"Dana Cepat","","","rupiahkilat@qq.com","Fintech Ilegal","Peer To Peer Lending","13/12/2021","SP-05/VII/SWI/2018"
"Dana Cepat Plus","","","rupiahkilat@qq.com","Fintech Ilegal","Peer To Peer Lending","13/12/2021","SP-05/VII/SWI/2018"
"Dana Cepat plus - ahli pinjaman cepat","","","rupiahkilat@qq.com","Fintech Ilegal","Peer To Peer Lending","13/12/2021","SP-05/VII/SWI/2018"
"Dana Instan Mandiri","","","terathick@gmail.com","Fintech Ilegal","Peer To Peer Lending","13/12/2021","SP-05/VII/SWI/2018"
"Dana Kilat","","","","Fintech Ilegal","Peer To Peer Lending","13/12/2021","SP-05/VII/SWI/2018"
"Dana Pinjam","","","pinjamdigital@gmail.com","Fintech Ilegal","Peer To Peer Lending","13/12/2021","SP-05/VII/SWI/2018"
"Dana Pintar","","","jinggadigital@gmail.com","Fintech Ilegal","Peer To Peer Lending","13/12/2021","SP-05/VII/SWI/2018"
"Dana Saku","","","https://apkpure.co/dana-saku/","Fintech Ilegal","Peer To Peer Lending","13/12/2021","SP-05/VII/SWI/2018"
"Dana Tunai","","","2122630665","Fintech Ilegal","Peer To Peer Lending","13/12/2021","SP-05/VII/SWI/2018"
"Dana Uang","","","sanyengteng2015@gmail.com","Fintech Ilegal","Peer To Peer Lending","13/12/2021","SP-05/VII/SWI/2018"
"Danaku","","","https://sameapk.com/danaku/","Fintech Ilegal","Peer To Peer Lending","13/12/2021","SP-05/VII/SWI/2018"
"DanaNow","","","zzzyyyzzzyyy33@gmail.com","Fintech Ilegal","Peer To Peer Lending","13/12/2021","SP-05/VII/SWI/2018"
"DanaSegar","","","dompettechnology@gmail.com","Fintech Ilegal","Peer To Peer Lending","13/12/2021","SP-05/VII/SWI/2018"
"DMS Mobile Syariah","","","JL. BUKIT MAWAR II. NO.139B. BLOK F. SENDANG MULYO. TEMBALANG. SEMARANG. INDONESIA. 50272","Fintech Ilegal","Peer To Peer Lending","13/12/2021","SP-05/VII/SWI/2018"
"DokterUang","","","cs@dokteruang.com","Fintech Ilegal","Peer To Peer Lending","13/12/2021","SP-05/VII/SWI/2018"
"DokterUang","","","","Fintech Ilegal","Peer To Peer Lending","13/12/2021","SP-05/VII/SWI/2018"
"Dompet Pinjaman","","","email not found","Fintech Ilegal","Peer To Peer Lending","13/12/2021","SP-05/VII/SWI/2018"
"DompetKamu","","","email not found","Fintech Ilegal","Peer To Peer Lending","13/12/2021","SP-05/VII/SWI/2018"
"Duit Instan","","","","Fintech Ilegal","Peer To Peer Lending","13/12/2021","SP-05/VII/SWI/2018"
"Duit Mudah","","","duitudahido@gmail.com","Fintech Ilegal","Peer To Peer Lending","13/12/2021","SP-05/VII/SWI/2018"
"DuitDuit","","","cungnyitheng@gmail.com","Fintech Ilegal","Peer To Peer Lending","13/12/2021","SP-05/VII/SWI/2018"
"Duit-in","","","","Fintech Ilegal","Peer To Peer Lending","13/12/2021","SP-05/VII/SWI/2018"
"Dunia Pinjaman","","","","Fintech Ilegal","Peer To Peer Lending","13/12/2021","SP-05/VII/SWI/2018"
"Easy Credit","","","yaojiaki12@gmailcom","Fintech Ilegal","Peer To Peer Lending","13/12/2021","SP-05/VII/SWI/2018"
"Easy Loans : Payday","","","info@brand-d.ru","Fintech Ilegal","Peer To Peer Lending","13/12/2021","SP-05/VII/SWI/2018"
"easycredit","","","yaojiaki12@gmailcom","Fintech Ilegal","Peer To Peer Lending","13/12/2021","SP-05/VII/SWI/2018"
"EasyRupiah","","","email not found","Fintech Ilegal","Peer To Peer Lending","13/12/2021","SP-05/VII/SWI/2018"
"E-Kasbon","","","info@e-kasbon.com","Fintech Ilegal","Peer To Peer Lending","13/12/2021","SP-05/VII/SWI/2018"
"eRupiah","","","","Fintech Ilegal","Peer To Peer Lending","13/12/2021","SP-05/VII/SWI/2018"
"eTunai","","","wangcong6544@gmail.com","Fintech Ilegal","Peer To Peer Lending","13/12/2021","SP-05/VII/SWI/2018"
"Go Card","","","gocardindonesia@gmail.com","Fintech Ilegal","Peer To Peer Lending","13/12/2021","SP-05/VII/SWI/2018"
"Go Dana","","","","Fintech Ilegal","Peer To Peer Lending","13/12/2021","SP-05/VII/SWI/2018"
"Go Go Uang","","","","Fintech Ilegal","Peer To Peer Lending","13/12/2021","SP-05/VII/SWI/2018"
"Go Pinjaman","","","","Fintech Ilegal","Peer To Peer Lending","13/12/2021","SP-05/VII/SWI/2018"
"Go Tunai","","","id@gotunai.com","Fintech Ilegal","Peer To Peer Lending","13/12/2021","SP-05/VII/SWI/2018"
"Go Tunai","","","","Fintech Ilegal","Peer To Peer Lending","13/12/2021","SP-05/VII/SWI/2018"
"Go-go Money","","","","Fintech Ilegal","Peer To Peer Lending","13/12/2021","SP-05/VII/SWI/2018"
"Go-go Rupiah","","","","Fintech Ilegal","Peer To Peer Lending","13/12/2021","SP-05/VII/SWI/2018"
"GoLoan","","","Icyangmi@163.com","Fintech Ilegal","Peer To Peer Lending","13/12/2021","SP-05/VII/SWI/2018"
"GoPinjaman","","","admin@amxc.tech","Fintech Ilegal","Peer To Peer Lending","13/12/2021","SP-05/VII/SWI/2018"
"GoUang","","","","Fintech Ilegal","Peer To Peer Lending","13/12/2021","SP-05/VII/SWI/2018"
"Hai Uang","","","1054281248@gmail.com","Fintech Ilegal","Peer To Peer Lending","13/12/2021","SP-05/VII/SWI/2018"
"Indkota","","","3255242283@qq.com","Fintech Ilegal","Peer To Peer Lending","13/12/2021","SP-05/VII/SWI/2018"
"IndoMoney","","","hrtx0823@gmail.com","Fintech Ilegal","Peer To Peer Lending","13/12/2021","SP-05/VII/SWI/2018"
"Kas Online","","","yaojiaxi01@gmail.com","Fintech Ilegal","Peer To Peer Lending","13/12/2021","SP-05/VII/SWI/2018"
"Kasbon","","","kasbonapp@gmail.com","Fintech Ilegal","Peer To Peer Lending","13/12/2021","SP-05/VII/SWI/2018"
"KooCash","","","zhuyaoming@aliyun.com","Fintech Ilegal","Peer To Peer Lending","13/12/2021","SP-05/VII/SWI/2018"
"Kotak Uang","","","bagusit2018@gmail.com","Fintech Ilegal","Peer To Peer Lending","13/12/2021","SP-05/VII/SWI/2018"
"Kredit Nusantara","","","Kredit.nusantara@gmail.com","Fintech Ilegal","Peer To Peer Lending","13/12/2021","SP-05/VII/SWI/2018"
"Kredit Pinjaman","","","creditleasing.sarawak@gmail.com","Fintech Ilegal","Peer To Peer Lending","13/12/2021","SP-05/VII/SWI/2018"
"Kredit Pinjaman Tanpa Agunan Mudah Dan Cepat","","","arrafa.yusuf18@gmail.com","Fintech Ilegal","Peer To Peer Lending","13/12/2021","SP-05/VII/SWI/2018"
"Kredit Pinjaman Uang","","","Jl. Sitorus Kav. 18 No 3 Medan","Fintech Ilegal","Peer To Peer Lending","13/12/2021","SP-05/VII/SWI/2018"
"Kredit Pinjaman Uang","","","3.D@gmail.com","Fintech Ilegal","Peer To Peer Lending","13/12/2021","SP-05/VII/SWI/2018"
"Kredit Pinjaman Uang Online","","","IDvelop2000@gmail.com","Fintech Ilegal","Peer To Peer Lending","13/12/2021","SP-05/VII/SWI/2018"
"Kredit Pinjaman Uang Online","","","3.D@gmail.com","Fintech Ilegal","Peer To Peer Lending","13/12/2021","SP-05/VII/SWI/2018"
"Kredit Tanpa Agunan","","","prastiancisoka@gmail.com","Fintech Ilegal","Peer To Peer Lending","13/12/2021","SP-05/VII/SWI/2018"
"Kreditkilat","","","iiuzhiman1026@gmail.com","Fintech Ilegal","Peer To Peer Lending","13/12/2021","SP-05/VII/SWI/2018"
"KTA Bos Tunai","","","haryadi.syahputra13@gmail.com","Fintech Ilegal","Peer To Peer Lending","13/12/2021","SP-05/VII/SWI/2018"
"ManCep","","","md.ridwan.2302@gmail.com","Fintech Ilegal","Peer To Peer Lending","13/12/2021","SP-05/VII/SWI/2018"
"MangoCash","","","mikesia@fuweifintech.com","Fintech Ilegal","Peer To Peer Lending","13/12/2021","SP-05/VII/SWI/2018"
"masBro","","","https://www.apkmonk.com/app/co.masbro.consumer/","Fintech Ilegal","Peer To Peer Lending","13/12/2021","SP-05/VII/SWI/2018"
"Mesin Uang","","","mesinua956@gmail.com","Fintech Ilegal","Peer To Peer Lending","13/12/2021","SP-05/VII/SWI/2018"
"MiniRupiah","","","sv@minirupiah.com","Fintech Ilegal","Peer To Peer Lending","13/12/2021","SP-05/VII/SWI/2018"
"Modal Bersama","","","","Fintech Ilegal","Peer To Peer Lending","13/12/2021","SP-05/VII/SWI/2018"
"modal pinjaman,","","","","Fintech Ilegal","Peer To Peer Lending","13/12/2021","SP-05/VII/SWI/2018"
"ModalPinjaman","","","tantan19900701@163.com","Fintech Ilegal","Peer To Peer Lending","13/12/2021","SP-05/VII/SWI/2018"
"Oklik Cash","","","oklikcash@gmail.com","Fintech Ilegal","Peer To Peer Lending","13/12/2021","SP-05/VII/SWI/2018"
"Onloan","","","onloan17@gmail.com","Fintech Ilegal","Peer To Peer Lending","13/12/2021","SP-05/VII/SWI/2018"
"PasarRupiah","","","RupiahPinjamanTanpa@gmail.com","Fintech Ilegal","Peer To Peer Lending","13/12/2021","SP-05/VII/SWI/2018"
"Payday Loans","","","malolepskayaira234@gmail.com","Fintech Ilegal","Peer To Peer Lending","13/12/2021","SP-05/VII/SWI/2018"
"Payday Loans","","","info@brand-d.ru","Fintech Ilegal","Peer To Peer Lending","13/12/2021","SP-05/VII/SWI/2018"
"P-Cash / Uang Bayi","","","","Fintech Ilegal","Peer To Peer Lending","13/12/2021","SP-05/VII/SWI/2018"
"Personal Loans","","","PO 16. Nonthaburi - Tiwanon Rd. Pakkred. Nonthaburi . Thailand / nuttapong.t@gmail.com","Fintech Ilegal","Peer To Peer Lending","13/12/2021","SP-05/VII/SWI/2018"
"Personal loans online","","","info@brand-d.ru","Fintech Ilegal","Peer To Peer Lending","13/12/2021","SP-05/VII/SWI/2018"
"Pinjam Cepat","","","halo@pinjamancepat.co.id","Fintech Ilegal","Peer To Peer Lending","13/12/2021","SP-05/VII/SWI/2018"
"Pinjam Dana","","","hl18601945001@gmail.com","Fintech Ilegal","Peer To Peer Lending","13/12/2021","SP-05/VII/SWI/2018"
"Pinjam Duit","","","onloan17@gmail.com","Fintech Ilegal","Peer To Peer Lending","13/12/2021","SP-05/VII/SWI/2018"
"Pinjam Mart","","","service.pinjammart@gmail.com","Fintech Ilegal","Peer To Peer Lending","13/12/2021","SP-05/VII/SWI/2018"
"Pinjam Plus","","","seaberkat@gmail.com","Fintech Ilegal","Peer To Peer Lending","13/12/2021","SP-05/VII/SWI/2018"
"Pinjam Rupiah","","","theeasypinjaman@gmail.com","Fintech Ilegal","Peer To Peer Lending","13/12/2021","SP-05/VII/SWI/2018"
"Pinjam Uang","","","kahlouchicham2012@gmail.com","Fintech Ilegal","Peer To Peer Lending","13/12/2021","SP-05/VII/SWI/2018"
"Pinjam Uang","","","rupiahkilat@qq.com","Fintech Ilegal","Peer To Peer Lending","13/12/2021","SP-05/VII/SWI/2018"
"Pinjam Uang - Dana Sera","","","rupiahkilat@qq.com","Fintech Ilegal","Peer To Peer Lending","13/12/2021","SP-05/VII/SWI/2018"
"Pinjam Uang Cepat","","","godevmei@gmail.com","Fintech Ilegal","Peer To Peer Lending","13/12/2021","SP-05/VII/SWI/2018"
"Pinjaman Cash","","","cs@pinjamancash.co.id","Fintech Ilegal","Peer To Peer Lending","13/12/2021","SP-05/VII/SWI/2018"
"Pinjaman cepat","","","haryadi.syahputra13@gmail.com","Fintech Ilegal","Peer To Peer Lending","13/12/2021","SP-05/VII/SWI/2018"
"Pinjaman Cepat","","","xmpazy@126.com","Fintech Ilegal","Peer To Peer Lending","13/12/2021","SP-05/VII/SWI/2018"
"Pinjaman cepat","","","","Fintech Ilegal","Peer To Peer Lending","13/12/2021","SP-05/VII/SWI/2018"
"Pinjaman Dana","","","","Fintech Ilegal","Peer To Peer Lending","13/12/2021","SP-05/VII/SWI/2018"
"Pinjaman Dana","","","","Fintech Ilegal","Peer To Peer Lending","13/12/2021","SP-05/VII/SWI/2018"
"Pinjaman Dana Cepat","","","rupiahkilat@qq.com","Fintech Ilegal","Peer To Peer Lending","13/12/2021","SP-05/VII/SWI/2018"
"Pinjaman Dana Cepat - Dana tunai","","","rupiahkilat@qq.com","Fintech Ilegal","Peer To Peer Lending","13/12/2021","SP-05/VII/SWI/2018"
"Pinjaman Dana Online","","","godevmei@gmail.com","Fintech Ilegal","Peer To Peer Lending","13/12/2021","SP-05/VII/SWI/2018"
"Pinjaman Dana Tunai","","","","Fintech Ilegal","Peer To Peer Lending","13/12/2021","SP-05/VII/SWI/2018"
"Pinjaman Duit","","","","Fintech Ilegal","Peer To Peer Lending","13/12/2021","SP-05/VII/SWI/2018"
"Pinjaman Flash","","","olalashopjakarta@gmail.com","Fintech Ilegal","Peer To Peer Lending","13/12/2021","SP-05/VII/SWI/2018"
"Pinjaman Kilat","","","shangguanlianjian@163.com","Fintech Ilegal","Peer To Peer Lending","13/12/2021","SP-05/VII/SWI/2018"
"Pinjaman Kredit Mandiri","","","IDvelop2000@gmail.com","Fintech Ilegal","Peer To Peer Lending","13/12/2021","SP-05/VII/SWI/2018"
"Pinjaman Kredit Tanpa Agunan,","","","md.ridwan.2302@gmail.com","Fintech Ilegal","Peer To Peer Lending","13/12/2021","SP-05/VII/SWI/2018"
"Pinjaman KTA Ok dan terpercaya","","","lindalindahoshi@gmail.com","Fintech Ilegal","Peer To Peer Lending","13/12/2021","SP-05/VII/SWI/2018"
"Pinjaman Mandiri","","","GODEV.KILLER@gmail.com","Fintech Ilegal","Peer To Peer Lending","13/12/2021","SP-05/VII/SWI/2018"
"Pinjaman Mantap","","","","Fintech Ilegal","Peer To Peer Lending","13/12/2021","SP-05/VII/SWI/2018"
"Pinjaman online","","","bobbyfaisal@01.com","Fintech Ilegal","Peer To Peer Lending","13/12/2021","SP-05/VII/SWI/2018"
"Pinjaman Online","","","prastiancisoka@gmail.com","Fintech Ilegal","Peer To Peer Lending","13/12/2021","SP-05/VII/SWI/2018"
"Pinjaman Online - Rupiah cash cepat cair","","","bangjayadisaid.03@gmail.com","Fintech Ilegal","Peer To Peer Lending","13/12/2021","SP-05/VII/SWI/2018"
"Pinjaman Online Cepat","","","Jammas.Done.Apps@gmail.com","Fintech Ilegal","Peer To Peer Lending","13/12/2021","SP-05/VII/SWI/2018"
"Pinjaman Online Cepat","","","godevmei@gmail.com","Fintech Ilegal","Peer To Peer Lending","13/12/2021","SP-05/VII/SWI/2018"
"Pinjaman Online Cepat","","","IDvelop2000@gmail.com","Fintech Ilegal","Peer To Peer Lending","13/12/2021","SP-05/VII/SWI/2018"
"Pinjaman Online Cicilan","","","timursulawesi0@gmail.com / Plered Purwakarta 41162","Fintech Ilegal","Peer To Peer Lending","13/12/2021","SP-05/VII/SWI/2018"
"Pinjaman Online Dengan Cicilan","","","timursulawesi0@gmail.com / Plered Purwakarta 41162","Fintech Ilegal","Peer To Peer Lending","13/12/2021","SP-05/VII/SWI/2018"
"Pinjaman Online KUR 2018","","","IDvelop2000@gmail.com","Fintech Ilegal","Peer To Peer Lending","13/12/2021","SP-05/VII/SWI/2018"
"Pinjaman Online Syariah","","","IDvelop2000@gmail.com","Fintech Ilegal","Peer To Peer Lending","13/12/2021","SP-05/VII/SWI/2018"
"Pinjaman Online Tanpa Jaminan","","","Jammas.Done.Apps@gmail.com","Fintech Ilegal","Peer To Peer Lending","13/12/2021","SP-05/VII/SWI/2018"
"Pinjaman P2P","","","","Fintech Ilegal","Peer To Peer Lending","13/12/2021","SP-05/VII/SWI/2018"
"Pinjaman Personal","","","lindalindahoshi@gmail.com","Fintech Ilegal","Peer To Peer Lending","13/12/2021","SP-05/VII/SWI/2018"
"Pinjaman Pintar","","","","Fintech Ilegal","Peer To Peer Lending","13/12/2021","SP-05/VII/SWI/2018"
"Pinjaman RG","","","leoalaoui2012@gmail.com","Fintech Ilegal","Peer To Peer Lending","13/12/2021","SP-05/VII/SWI/2018"
"Pinjaman Rupiah","","","18559284449@163.com","Fintech Ilegal","Peer To Peer Lending","13/12/2021","SP-05/VII/SWI/2018"
"Pinjaman Rupiah","","","","Fintech Ilegal","Peer To Peer Lending","13/12/2021","SP-05/VII/SWI/2018"
"Pinjaman Rupiah Pertama","","","pinjaman.pertama2018@gmail.com","Fintech Ilegal","Peer To Peer Lending","13/12/2021","SP-05/VII/SWI/2018"
"Pinjaman Sahabat","","","bangjayadisaid.03@gmail.com","Fintech Ilegal","Peer To Peer Lending","13/12/2021","SP-05/VII/SWI/2018"
"Pinjaman Sukses","","","","Fintech Ilegal","Peer To Peer Lending","13/12/2021","SP-05/VII/SWI/2018"
"Pinjaman Super","","","","Fintech Ilegal","Peer To Peer Lending","13/12/2021","SP-05/VII/SWI/2018"
"Pinjaman Syariah Online Tanpa Riba","","","prastiancisoka@gmail.com","Fintech Ilegal","Peer To Peer Lending","13/12/2021","SP-05/VII/SWI/2018"
"Pinjaman Syariah Tanpa Riba","","","bobbyfaisal@01.com","Fintech Ilegal","Peer To Peer Lending","13/12/2021","SP-05/VII/SWI/2018"
"Pinjaman Syariah Tanpa Riba","","","programindo18@gmail.com","Fintech Ilegal","Peer To Peer Lending","13/12/2021","SP-05/VII/SWI/2018"
"Pinjaman Tanpa Jaminan","","","batman.ads.dev@gmail.com","Fintech Ilegal","Peer To Peer Lending","13/12/2021","SP-05/VII/SWI/2018"
"Pinjaman Top","","","","Fintech Ilegal","Peer To Peer Lending","13/12/2021","SP-05/VII/SWI/2018"
"Pinjaman Tunai BCA Kredit","","","triinayah21222@yahoo.com","Fintech Ilegal","Peer To Peer Lending","13/12/2021","SP-05/VII/SWI/2018"
"Pinjaman Tunai tanpa Jaminan","","","APARTEMEN LAGUNA BLOK A 16 NO. 58. RT/RT : 006/019 KELURAHAN PLUIT, KECAMATAN PENJARINGAN JAKARTA UTARA DKI Jakarta - 14450 / novita.sutio@gmail.com","Fintech Ilegal","Peer To Peer Lending","13/12/2021","SP-05/VII/SWI/2018"
"Pinjaman Uang","","","391431657@qq.com","Fintech Ilegal","Peer To Peer Lending","13/12/2021","SP-05/VII/SWI/2018"
"Pinjaman Uang Mandiri","","","","Fintech Ilegal","Peer To Peer Lending","13/12/2021","SP-05/VII/SWI/2018"
"PinjamanKilat","","","shangguanlinjian@163.com","Fintech Ilegal","Peer To Peer Lending","13/12/2021","SP-05/VII/SWI/2018"
"Pinjamku","","","","Fintech Ilegal","Peer To Peer Lending","13/12/2021","SP-05/VII/SWI/2018"
"Pinjem Aja","","","rixia.zhang@gmail.com","Fintech Ilegal","Peer To Peer Lending","13/12/2021","SP-05/VII/SWI/2018"
"Pinjem Aja","","","","Fintech Ilegal","Peer To Peer Lending","13/12/2021","SP-05/VII/SWI/2018"
"pinjemDong - aplikasi","","","qianboyang2@gmail.com","Fintech Ilegal","Peer To Peer Lending","13/12/2021","SP-05/VII/SWI/2018"
"PiPipi","","","pipipi20180313@gmail.com","Fintech Ilegal","Peer To Peer Lending","13/12/2021","SP-05/VII/SWI/2018"
"Praktis Pinjaman","","","terathick@gmail.com","Fintech Ilegal","Peer To Peer Lending","13/12/2021","SP-05/VII/SWI/2018"
"Quick Cash Loans","","","info@brand-d.ru","Fintech Ilegal","Peer To Peer Lending","13/12/2021","SP-05/VII/SWI/2018"
"Raja Pinjaman","","","504982352@qq.com","Fintech Ilegal","Peer To Peer Lending","13/12/2021","SP-05/VII/SWI/2018"
"RajaRupiah","","","","Fintech Ilegal","Peer To Peer Lending","13/12/2021","SP-05/VII/SWI/2018"
"RajaUang","","","","Fintech Ilegal","Peer To Peer Lending","13/12/2021","SP-05/VII/SWI/2018"
"Rakredit","","","ra.satisfaction@gmail.com","Fintech Ilegal","Peer To Peer Lending","13/12/2021","SP-05/VII/SWI/2018"
"Rakredit","","","naomi@rocketindo.com","Fintech Ilegal","Peer To Peer Lending","13/12/2021","SP-05/VII/SWI/2018"
"RpNow","","","skywratharcana@gmail.com","Fintech Ilegal","Peer To Peer Lending","13/12/2021","SP-05/VII/SWI/2018"
"RumahPinjaman","","","173335986@qq.com","Fintech Ilegal","Peer To Peer Lending","13/12/2021","SP-05/VII/SWI/2018"
"Rupiah Avenue","","","rupiahavenue@gmail.com","Fintech Ilegal","Peer To Peer Lending","13/12/2021","SP-05/VII/SWI/2018"
"Rupiah Bijak","","","","Fintech Ilegal","Peer To Peer Lending","13/12/2021","SP-05/VII/SWI/2018"
"Rupiah Kilat","","","","Fintech Ilegal","Peer To Peer Lending","13/12/2021","SP-05/VII/SWI/2018"
"Rupiah Kita","","","mo9dev@gmail.com","Fintech Ilegal","Peer To Peer Lending","13/12/2021","SP-05/VII/SWI/2018"
"Rupiah Oke","","","","Fintech Ilegal","Peer To Peer Lending","13/12/2021","SP-05/VII/SWI/2018"
"Rupiah On","","","","Fintech Ilegal","Peer To Peer Lending","13/12/2021","SP-05/VII/SWI/2018"
"Rupiah Sapi","","","service@loan4now.com","Fintech Ilegal","Peer To Peer Lending","13/12/2021","SP-05/VII/SWI/2018"
"Rupiah Teman","","","","Fintech Ilegal","Peer To Peer Lending","13/12/2021","SP-05/VII/SWI/2018"
"Rupiah-Ayo","","","","Fintech Ilegal","Peer To Peer Lending","13/12/2021","SP-05/VII/SWI/2018"
"RupiahKilat","","","","Fintech Ilegal","Peer To Peer Lending","13/12/2021","SP-05/VII/SWI/2018"
"RupiahKita","","","","Fintech Ilegal","Peer To Peer Lending","13/12/2021","SP-05/VII/SWI/2018"
"Saku Pinjaman","","","onlinepinjam@gmail.com","Fintech Ilegal","Peer To Peer Lending","13/12/2021","SP-05/VII/SWI/2018"
"Saku Pinjaman","","","","Fintech Ilegal","Peer To Peer Lending","13/12/2021","SP-05/VII/SWI/2018"
"Sakuku Rupiah","","","504982352@qq.com","Fintech Ilegal","Peer To Peer Lending","13/12/2021","SP-05/VII/SWI/2018"
"Solusi KTA Aku","","","lindalindahoshi@gmail.com","Fintech Ilegal","Peer To Peer Lending","13/12/2021","SP-05/VII/SWI/2018"
"Solusi KTAku","","","lindalindahoshi@gmail.com","Fintech Ilegal","Peer To Peer Lending","13/12/2021","SP-05/VII/SWI/2018"
"Super Kredit","","","","Fintech Ilegal","Peer To Peer Lending","13/12/2021","SP-05/VII/SWI/2018"
"Super Rupiah","","","johanna@supermoneyshop.com","Fintech Ilegal","Peer To Peer Lending","13/12/2021","SP-05/VII/SWI/2018"
"Super Uang","","","homepage@superads.cn","Fintech Ilegal","Peer To Peer Lending","13/12/2021","SP-05/VII/SWI/2018"
"Super Uang","","","","Fintech Ilegal","Peer To Peer Lending","13/12/2021","SP-05/VII/SWI/2018"
"Supermoneyshop","","","","Fintech Ilegal","Peer To Peer Lending","13/12/2021","SP-05/VII/SWI/2018"
"SuperPinjam","","","","Fintech Ilegal","Peer To Peer Lending","13/12/2021","SP-05/VII/SWI/2018"
"Terbuka Pinjaman Indonesia/ Open Loans Indonesia","","","sms@viva.co.ke","Fintech Ilegal","Peer To Peer Lending","13/12/2021","SP-05/VII/SWI/2018"
"TokoRupiah","","","jasonsage@26gmail.com","Fintech Ilegal","Peer To Peer Lending","13/12/2021","SP-05/VII/SWI/2018"
"Tunai Plus","","","","Fintech Ilegal","Peer To Peer Lending","13/12/2021","SP-05/VII/SWI/2018"
